cki_destination,cki_bag_pieces,cki_bag_weight,loadtable_destination,loadtable_bag_pieces,loadtable_bag_weight,combined,timestamp
DUB,147.0,2205.00 KG,DUB,145.0,2175.00 KG,2024-05_MN_1088.0_3.0,2024-05-03 23:31:39
DUB,141.0,2115.00 KG,DUB,144.0,2160.00 KG,2024-05_MN_1086.0_4.0,2024-05-04 00:19:21
DUB,141.0,2115.00 KG,DUB,145.0,2175.00 KG,2024-05_MN_1086.0_4.0,2024-05-04 00:23:01
DUB,100.0,1500.00 KG,DUB,102.0,1530.00 KG,2024-05_MN_1114.0_4.0,2024-05-04 00:28:29
DUB,215.0,3225.00 KG,DUB,214.0,3210.00 KG,2024-05_MN_1060.0_4.0,2024-05-04 00:34:20
DUB,99.0,1485.00 KG,DUB,101.0,1515.00 KG,2024-05_MN_1114.0_4.0,2024-05-04 00:39:48
DUB,187.0,2805.00 KG,DUB,184.0,2760.00 KG,2024-05_MN_1106.0_4.0,2024-05-04 00:43:18
DUB,100.0,1500.00 KG,DUB,102.0,1530.00 KG,2024-05_MN_1114.0_4.0,2024-05-04 00:45:29
DUB,203.0,3045.00 KG,DUB,204.0,3060.00 KG,2024-05_MN_1136.0_4.0,2024-05-04 00:50:20
DUB,220.0,3300.00 KG,DUB,217.0,3255.00 KG,2024-05_MN_1124.0_4.0,2024-05-04 01:48:17
DUB,196.0,2940.00 KG,DUB,197.0,2955.00 KG,2024-05_MN_1068.0_4.0,2024-05-04 02:54:12
FCO,141.0,1833.00 KG,FCO,122.0,1586.00 KG,2024-05_MN_1402.0_4.0,2024-05-04 04:46:31
BOD,152.0,1976.00 KG,BOD,151.0,1963.00 KG,2024-05_MN_1506.0_4.0,2024-05-04 04:47:08
NAP,110.0,1430.00 KG,NAP,106.0,1378.00 KG,2024-05_MN_1450.0_4.0,2024-05-04 04:52:31
FCO,141.0,1833.00 KG,FCO,128.0,1664.00 KG,2024-05_MN_1402.0_4.0,2024-05-04 04:52:23
MAD,101.0,1313.00 KG,MAD,99.0,1287.00 KG,2024-05_MN_1592.0_4.0,2024-05-04 04:54:08
FCO,141.0,1833.00 KG,FCO,139.0,1807.00 KG,2024-05_MN_1402.0_4.0,2024-05-04 05:01:09
MAD,99.0,1287.00 KG,MAD,100.0,1300.00 KG,2024-05_MN_1592.0_4.0,2024-05-04 05:01:56
AMS,99.0,1287.00 KG,AMS,100.0,1300.00 KG,2024-05_MN_1602.0_4.0,2024-05-04 05:03:29
CDG,105.0,1365.00 KG,CDG,103.0,1339.00 KG,2024-05_MN_1520.0_4.0,2024-05-04 05:14:11
MAN,81.0,1053.00 KG,MAN,80.0,1040.00 KG,2024-05_MN_1202.0_4.0,2024-05-04 05:19:12
FRA,92.0,1196.00 KG,FRA,91.0,1183.00 KG,2024-05_MN_1650.0_4.0,2024-05-04 05:24:45
BER,103.0,1339.00 KG,BER,102.0,1326.00 KG,2024-05_MN_1332.0_4.0,2024-05-04 05:25:16
DUS,85.0,1105.00 KG,DUS,84.0,1092.00 KG,2024-05_MN_1692.0_4.0,2024-05-04 05:28:41
LIN,125.0,1625.00 KG,LIN,123.0,1599.00 KG,2024-05_MN_1432.0_4.0,2024-05-04 05:35:55
TFS,165.0,2145.00 KG,TFS,159.0,2067.00 KG,2024-05_MN_1762.0_4.0,2024-05-04 05:31:34
BCN,183.0,2379.00 KG,BCN,182.0,2366.00 KG,2024-05_MN_1562.0_4.0,2024-05-04 05:37:29
ZRH,92.0,1196.00 KG,ZRH,91.0,1183.00 KG,2024-05_MN_1342.0_4.0,2024-05-04 05:41:07
TFS,165.0,2145.00 KG,TFS,161.0,2093.00 KG,2024-05_MN_1762.0_4.0,2024-05-04 05:52:14
AGP,301.0,3913.00 KG,AGP,297.0,3861.00 KG,2024-05_MN_1580.0_4.0,2024-05-04 05:56:32
AGP,301.0,3913.00 KG,AGP,298.0,3874.00 KG,2024-05_MN_1580.0_4.0,2024-05-04 05:59:29
AGP,301.0,3913.00 KG,AGP,299.0,3887.00 KG,2024-05_MN_1580.0_4.0,2024-05-04 06:00:15
ACE,148.0,1924.00 KG,ACE,147.0,1911.00 KG,2024-05_MN_1776.0_4.0,2024-05-04 06:02:41
DBV,133.0,1729.00 KG,DBV,134.0,1742.00 KG,2024-05_MN_1476.0_4.0,2024-05-04 06:16:19
DBV,133.0,1729.00 KG,DBV,135.0,1755.00 KG,2024-05_MN_1476.0_4.0,2024-05-04 06:17:06
FAO,296.0,3848.00 KG,FAO,287.0,3731.00 KG,2024-05_MN_1492.0_4.0,2024-05-04 06:21:27
LIS,128.0,1664.00 KG,LIS,129.0,1677.00 KG,2024-05_MN_1482.0_4.0,2024-05-04 06:30:58
VCE,141.0,1833.00 KG,VCE,138.0,1794.00 KG,2024-05_MN_1422.0_4.0,2024-05-04 06:32:05
BUD,131.0,1703.00 KG,BUD,134.0,1742.00 KG,2024-05_MN_1672.0_4.0,2024-05-04 06:33:54
LHR,110.0,1430.00 KG,LHR,103.0,1339.00 KG,2024-05_MN_1156.0_4.0,2024-05-04 07:28:53
LHR,111.0,1443.00 KG,LHR,95.0,1235.00 KG,2024-05_MN_1158.0_4.0,2024-05-04 08:24:23
LHR,111.0,1443.00 KG,LHR,96.0,1248.00 KG,2024-05_MN_1158.0_4.0,2024-05-04 08:26:17
AMS,145.0,1885.00 KG,AMS,148.0,1924.00 KG,2024-05_MN_1604.0_4.0,2024-05-04 08:44:19
LHR,111.0,1443.00 KG,LHR,94.0,1222.00 KG,2024-05_MN_1158.0_4.0,2024-05-04 08:41:29
CDG,147.0,1911.00 KG,CDG,146.0,1898.00 KG,2024-05_MN_1524.0_4.0,2024-05-04 08:42:25
LHR,111.0,1443.00 KG,LHR,98.0,1274.00 KG,2024-05_MN_1158.0_4.0,2024-05-04 08:56:35
NCE,144.0,1872.00 KG,NCE,143.0,1859.00 KG,2024-05_MN_1544.0_4.0,2024-05-04 09:29:57
LHR,125.0,11625.00 KG,LHR,118.0,1534.00 KG,2024-05_MN_1162.0_4.0,2024-05-04 09:50:47
JFK,214.0,3210.00 KG,JFK,209.0,3135.00 KG,2024-05_MN_1105.0_4.0,2024-05-04 09:53:15
LHR,125.0,11625.00 KG,LHR,119.0,1547.00 KG,2024-05_MN_1162.0_4.0,2024-05-04 09:52:56
LHR,133.0,1729.00 KG,LHR,112.0,1456.00 KG,2024-05_MN_1164.0_4.0,2024-05-04 10:36:17
JFK,214.0,3210.00 KG,JFK,209.0,3135.00 KG,2024-05_MN_1105.0_4.0,2024-05-04 09:53:59
ORD,187.0,2805.00 KG,ORD,182.0,2730.00 KG,2024-05_MN_1123.0_4.0,2024-05-04 10:16:40
VRN,166.0,2158.00 KG,VRN,163.0,2119.00 KG,2024-05_MN_1412.0_4.0,2024-05-04 10:19:13
VRN,166.0,2158.00 KG,VRN,165.0,2145.00 KG,2024-05_MN_1412.0_4.0,2024-05-04 10:21:05
FAO,153.0,1989.00 KG,FAO,150.0,1950.00 KG,2024-05_MN_1494.0_4.0,2024-05-04 10:30:27
BOS,203.0,3045.00 KG,BOS,202.0,3030.00 KG,2024-05_MN_1133.0_4.0,2024-05-04 10:37:08
AGP,175.0,2275.00 KG,AGP,164.0,2132.00 KG,2024-05_MN_1584.0_4.0,2024-05-04 10:53:06
NTE,98.0,1274.00 KG,NTE,93.0,1209.00 KG,2024-05_MN_1538.0_4.0,2024-05-04 10:57:38
AGP,165.0,2145.00 KG,AGP,164.0,2132.00 KG,2024-05_MN_1584.0_4.0,2024-05-04 11:10:58
BIO,130.0,1690.00 KG,BIO,125.0,1625.00 KG,2024-05_MN_1748.0_4.0,2024-05-04 11:37:47
BIO,130.0,1690.00 KG,BIO,126.0,1638.00 KG,2024-05_MN_1748.0_4.0,2024-05-04 11:39:48
MRS,143.0,1859.00 KG,MRS,115.0,1495.00 KG,2024-05_MN_1514.0_4.0,2024-05-04 11:39:44
LYS,102.0,1326.00 KG,LYS,99.0,1287.00 KG,2024-05_MN_1552.0_4.0,2024-05-04 11:43:01
IAD,145.0,2175.00 KG,IAD,162.0,2430.00 KG,2024-05_MN_1117.0_4.0,2024-05-04 11:44:38
IAD,145.0,2175.00 KG,IAD,162.0,2430.00 KG,2024-05_MN_1117.0_4.0,2024-05-04 11:44:57
CDG,125.0,1625.00 KG,CDG,123.0,1599.00 KG,2024-05_MN_1526.0_4.0,2024-05-04 11:47:20
EWR,159.0,2385.00 KG,EWR,158.0,2370.00 KG,2024-05_MN_1101.0_4.0,2024-05-04 11:52:25
IAD,145.0,2175.00 KG,IAD,162.0,2430.00 KG,2024-05_MN_1117.0_4.0,2024-05-04 11:58:10
YYZ,217.0,3255.00 KG,YYZ,208.0,3120.00 KG,2024-05_MN_1127.0_4.0,2024-05-04 11:59:53
EWR,159.0,2385.00 KG,EWR,160.0,2400.00 KG,2024-05_MN_1101.0_4.0,2024-05-04 12:01:33
EWR,159.0,2385.00 KG,EWR,160.0,2400.00 KG,2024-05_MN_1101.0_4.0,2024-05-04 12:01:39
DLM,168.0,2184.00 KG,DLM,167.0,2171.00 KG,2024-05_MN_1790.0_4.0,2024-05-04 12:12:24
LHR,119.0,1547.00 KG,LHR,116.0,1508.00 KG,2024-05_MN_1166.0_4.0,2024-05-04 12:17:58
JTR,151.0,1963.00 KG,JTR,148.0,1924.00 KG,2024-05_MN_1446.0_4.0,2024-05-04 13:00:41
BDL,115.0,1725.00 KG,BDL,114.0,1710.00 KG,2024-05_MN_1131.0_4.0,2024-05-04 12:43:07
BDL,115.0,1725.00 KG,BDL,114.0,1710.00 KG,2024-05_MN_1131.0_4.0,2024-05-04 12:44:11
MCO,296.0,4440.00 KG,MCO,293.0,4395.00 KG,2024-05_MN_1121.0_4.0,2024-05-04 12:45:20
JTR,151.0,1963.00 KG,JTR,148.0,1924.00 KG,2024-05_MN_1446.0_4.0,2024-05-04 13:00:37
LHR,91.0,1183.00 KG,LHR,90.0,1170.00 KG,2024-05_MN_1168.0_4.0,2024-05-04 13:05:18
MSP,75.0,1125.00 KG,MSP,81.0,1215.00 KG,2024-05_MN_1089.0_4.0,2024-05-04 13:14:07
PGF,114.0,1482.00 KG,PGF,110.0,1430.00 KG,2024-05_MN_1510.0_4.0,2024-05-04 13:22:12
TFS,150.0,1950.00 KG,TFS,149.0,1937.00 KG,2024-05_MN_1764.0_4.0,2024-05-04 13:42:43
LPA,138.0,1794.00 KG,LPA,135.0,1755.00 KG,2024-05_MN_1782.0_4.0,2024-05-04 13:47:24
LAX,209.0,3135.00 KG,LAX,205.0,3075.00 KG,2024-05_MN_1069.0_4.0,2024-05-04 14:00:11
LAX,209.0,3135.00 KG,LAX,200.0,3000.00 KG,2024-05_MN_1069.0_4.0,2024-05-04 13:49:48
LAX,209.0,3135.00 KG,LAX,203.0,3045.00 KG,2024-05_MN_1069.0_4.0,2024-05-04 13:57:24
ADB,154.0,2002.00 KG,ADB,149.0,1937.00 KG,2024-05_MN_1798.0_4.0,2024-05-04 14:06:12
ADB,154.0,2002.00 KG,ADB,151.0,1963.00 KG,2024-05_MN_1798.0_4.0,2024-05-04 14:09:29
KGS,192.0,2496.00 KG,KGS,187.0,2431.00 KG,2024-05_MN_1438.0_4.0,2024-05-04 14:17:36
KGS,192.0,2496.00 KG,KGS,191.0,2483.00 KG,2024-05_MN_1438.0_4.0,2024-05-04 14:24:38
KGS,192.0,2496.00 KG,KGS,193.0,2509.00 KG,2024-05_MN_1438.0_4.0,2024-05-04 14:26:45
FCO,129.0,1677.00 KG,FCO,122.0,1586.00 KG,2024-05_MN_1406.0_4.0,2024-05-04 14:28:20
LHR,103.0,1339.00 KG,LHR,99.0,1287.00 KG,2024-05_MN_1174.0_4.0,2024-05-04 14:35:12
IAD,149.0,2235.00 KG,IAD,154.0,2310.00 KG,2024-05_MN_1119.0_4.0,2024-05-04 15:01:20
PHL,103.0,1545.00 KG,PHL,106.0,1590.00 KG,2024-05_MN_1115.0_4.0,2024-05-04 15:02:29
BOJ,159.0,2067.00 KG,BOJ,164.0,2132.00 KG,2024-05_MN_1376.0_4.0,2024-05-04 15:08:53
ORD,177.0,2655.00 KG,ORD,180.0,2700.00 KG,2024-05_MN_1125.0_4.0,2024-05-04 15:12:06
ORD,177.0,2655.00 KG,ORD,181.0,2715.00 KG,2024-05_MN_1125.0_4.0,2024-05-04 15:17:44
JFK,191.0,2865.00 KG,JFK,192.0,2880.00 KG,2024-05_MN_1107.0_4.0,2024-05-04 15:22:14
BOS,242.0,3630.00 KG,BOS,240.0,3600.00 KG,2024-05_MN_1137.0_4.0,2024-05-04 15:22:27
BOS,242.0,3630.00 KG,BOS,241.0,3615.00 KG,2024-05_MN_1137.0_4.0,2024-05-04 15:23:04
ORD,175.0,2625.00 KG,ORD,179.0,2685.00 KG,2024-05_MN_1125.0_4.0,2024-05-04 15:30:15
CFU,167.0,2171.00 KG,CFU,163.0,2119.00 KG,2024-05_MN_1444.0_4.0,2024-05-04 15:54:32
FAO,160.0,2080.00 KG,FAO,156.0,2028.00 KG,2024-05_MN_1496.0_4.0,2024-05-04 16:14:55
DUS,162.0,2106.00 KG,DUS,161.0,2093.00 KG,2024-05_MN_1698.0_4.0,2024-05-04 16:15:55
BER,106.0,1378.00 KG,BER,103.0,1339.00 KG,2024-05_MN_1336.0_4.0,2024-05-04 16:28:54
AGP,151.0,1963.00 KG,AGP,149.0,1937.00 KG,2024-05_MN_1586.0_4.0,2024-05-04 16:32:12
CDG,107.0,1391.00 KG,CDG,102.0,1326.00 KG,2024-05_MN_1528.0_4.0,2024-05-04 16:48:46
AMS,88.0,1144.00 KG,AMS,77.0,1001.00 KG,2024-05_MN_1610.0_4.0,2024-05-04 17:10:06
AMS,88.0,1144.00 KG,AMS,78.0,1014.00 KG,2024-05_MN_1610.0_4.0,2024-05-04 17:12:57
OLB,151.0,1963.00 KG,OLB,147.0,1911.00 KG,2024-05_MN_1466.0_4.0,2024-05-04 17:17:12
BCN,144.0,1872.00 KG,BCN,146.0,1898.00 KG,2024-05_MN_1564.0_4.0,2024-05-04 17:39:26
PMI,169.0,2197.00 KG,PMI,155.0,2015.00 KG,2024-05_MN_1738.0_4.0,2024-05-04 17:42:07
PMI,169.0,2197.00 KG,PMI,156.0,2028.00 KG,2024-05_MN_1738.0_4.0,2024-05-04 17:43:05
PMI,169.0,2197.00 KG,PMI,158.0,2054.00 KG,2024-05_MN_1738.0_4.0,2024-05-04 17:43:58
ALC,142.0,1846.00 KG,ALC,139.0,1807.00 KG,2024-05_MN_1574.0_4.0,2024-05-04 17:49:39
PMI,169.0,2197.00 KG,PMI,160.0,2080.00 KG,2024-05_MN_1738.0_4.0,2024-05-04 17:47:41
ALC,142.0,1846.00 KG,ALC,140.0,1820.00 KG,2024-05_MN_1574.0_4.0,2024-05-04 17:54:00
VCE,100.0,1300.00 KG,VCE,103.0,1339.00 KG,2024-05_MN_1424.0_4.0,2024-05-04 17:55:04
DUB,179.0,2685.00 KG,DUB,178.0,2670.00 KG,2024-05_MN_1104.0_4.0,2024-05-04 20:18:07
DUB,147.0,2205.00 KG,DUB,167.0,2505.00 KG,2024-05_MN_1122.0_4.0,2024-05-04 20:31:03
DUB,125.0,1875.00 KG,DUB,133.0,1995.00 KG,2024-05_MN_1100.0_4.0,2024-05-04 20:45:49
DUB,193.0,2895.00 KG,DUB,192.0,2880.00 KG,2024-05_MN_1126.0_4.0,2024-05-04 21:14:46
MAN,200.0,3000.00 KG,MAN,204.0,3060.00 KG,2024-05_MN_1034.0_4.0,2024-05-04 21:16:54
DUB,102.0,1530.00 KG,DUB,107.0,1605.00 KG,2024-05_MN_1130.0_4.0,2024-05-04 21:25:55
SNN,100.0,1500.00 KG,SNN,99.0,1485.00 KG,2024-05_MN_1110.0_4.0,2024-05-04 21:49:54
SNN,92.0,1380.00 KG,SNN,89.0,1335.00 KG,2024-05_MN_1134.0_4.0,2024-05-04 22:05:47
MAN,113.0,1695.00 KG,MAN,112.0,1680.00 KG,2024-05_MN_1044.0_4.0,2024-05-04 22:31:44
DUB,310.0,4650.00 KG,DUB,316.0,4740.00 KG,2024-05_MN_1120.0_5.0,2024-05-04 23:44:18
DUB,99.0,1485.00 KG,DUB,98.0,1470.00 KG,2024-05_MN_1114.0_5.0,2024-05-05 00:00:01
DUB,149.0,2235.00 KG,DUB,147.0,2205.00 KG,2024-05_MN_1106.0_5.0,2024-05-05 00:30:40
DUB,149.0,2235.00 KG,DUB,147.0,2205.00 KG,2024-05_MN_1106.0_5.0,2024-05-05 00:31:47
DUB,190.0,2850.00 KG,DUB,186.0,2790.00 KG,2024-05_MN_1060.0_5.0,2024-05-05 00:33:35
DUB,168.0,2520.00 KG,DUB,166.0,2490.00 KG,2024-05_MN_1136.0_5.0,2024-05-05 00:58:59
DUB,127.0,1905.00 KG,DUB,126.0,1890.00 KG,2024-05_MN_1124.0_5.0,2024-05-05 01:37:29
AMS,142.0,1846.00 KG,AMS,139.0,1807.00 KG,2024-05_MN_1602.0_5.0,2024-05-05 04:55:21
AMS,142.0,1846.00 KG,AMS,138.0,1794.00 KG,2024-05_MN_1602.0_5.0,2024-05-05 04:50:41
NAP,121.0,1573.00 KG,NAP,118.0,1534.00 KG,2024-05_MN_1450.0_5.0,2024-05-05 04:53:58
NAP,121.0,1573.00 KG,NAP,120.0,1560.00 KG,2024-05_MN_1450.0_5.0,2024-05-05 05:01:28
FCO,171.0,2223.00 KG,FCO,169.0,2197.00 KG,2024-05_MN_1402.0_5.0,2024-05-05 05:03:45
LHR,87.0,1131.00 KG,LHR,88.0,1144.00 KG,2024-05_MN_1152.0_5.0,2024-05-05 05:05:58
BER,88.0,1144.00 KG,BER,85.0,1105.00 KG,2024-05_MN_1332.0_5.0,2024-05-05 05:19:22
PRG,94.0,1222.00 KG,PRG,92.0,1196.00 KG,2024-05_MN_1642.0_5.0,2024-05-05 05:20:14
MAN,85.0,1105.00 KG,MAN,86.0,1118.00 KG,2024-05_MN_1202.0_5.0,2024-05-05 05:20:30
CDG,131.0,1703.00 KG,CDG,128.0,1664.00 KG,2024-05_MN_1520.0_5.0,2024-05-05 05:20:59
LIN,143.0,1859.00 KG,LIN,142.0,1846.00 KG,2024-05_MN_1432.0_5.0,2024-05-05 05:34:31
BCN,161.0,2093.00 KG,BCN,166.0,2158.00 KG,2024-05_MN_1562.0_5.0,2024-05-05 05:32:17
FRA,106.0,1378.00 KG,FRA,104.0,1352.00 KG,2024-05_MN_1650.0_5.0,2024-05-05 05:35:31
LIS,124.0,1612.00 KG,LIS,121.0,1573.00 KG,2024-05_MN_1482.0_5.0,2024-05-05 05:48:19
LIS,124.0,1612.00 KG,LIS,122.0,1586.00 KG,2024-05_MN_1482.0_5.0,2024-05-05 05:49:56
LHR,88.0,1144.00 KG,LHR,85.0,1105.00 KG,2024-05_MN_1154.0_5.0,2024-05-05 05:58:23
MUC,102.0,1326.00 KG,MUC,99.0,1287.00 KG,2024-05_MN_1352.0_5.0,2024-05-05 05:59:58
VIE,106.0,1378.00 KG,VIE,105.0,1365.00 KG,2024-05_MN_1660.0_5.0,2024-05-05 06:03:22
ACE,170.0,2210.00 KG,ACE,163.0,2119.00 KG,2024-05_MN_1776.0_5.0,2024-05-05 06:04:10
FAO,252.0,3276.00 KG,FAO,251.0,3263.00 KG,2024-05_MN_1492.0_5.0,2024-05-05 06:07:12
AGP,278.0,3614.00 KG,AGP,280.0,3640.00 KG,2024-05_MN_1580.0_5.0,2024-05-05 06:08:49
AGP,278.0,3614.00 KG,AGP,281.0,3653.00 KG,2024-05_MN_1580.0_5.0,2024-05-05 06:12:06
DBV,145.0,1885.00 KG,DBV,134.0,1742.00 KG,2024-05_MN_1476.0_5.0,2024-05-05 06:13:24
DBV,145.0,1885.00 KG,DBV,140.0,1820.00 KG,2024-05_MN_1476.0_5.0,2024-05-05 06:17:25
TFS,161.0,2093.00 KG,TFS,157.0,2041.00 KG,2024-05_MN_1762.0_5.0,2024-05-05 06:21:12
FCO,171.0,2223.00 KG,FCO,169.0,2197.00 KG,2024-05_MN_1402.0_5.0,2024-05-05 06:42:27
LHR,103.0,1339.00 KG,LHR,102.0,1326.00 KG,2024-05_MN_1156.0_5.0,2024-05-05 07:44:16
BOS,177.0,2655.00 KG,BOS,175.0,2625.00 KG,2024-05_MN_1133.0_5.0,2024-05-05 10:19:26
LHR,114.0,1482.00 KG,LHR,117.0,1521.00 KG,2024-05_MN_1162.0_5.0,2024-05-05 10:19:40
FAO,149.0,1937.00 KG,FAO,142.0,1846.00 KG,2024-05_MN_1494.0_5.0,2024-05-05 10:27:24
AGP,154.0,2002.00 KG,AGP,146.0,1898.00 KG,2024-05_MN_1584.0_5.0,2024-05-05 10:31:22
BIO,126.0,1638.00 KG,BIO,128.0,1664.00 KG,2024-05_MN_1748.0_5.0,2024-05-05 10:43:30
BIO,126.0,1638.00 KG,BIO,129.0,1677.00 KG,2024-05_MN_1748.0_5.0,2024-05-05 10:46:09
LHR,81.0,1053.00 KG,LHR,79.0,1027.00 KG,2024-05_MN_1164.0_5.0,2024-05-05 10:49:25
LYS,92.0,1196.00 KG,LYS,84.0,1092.00 KG,2024-05_MN_1552.0_5.0,2024-05-05 11:25:51
SFO,208.0,3120.00 KG,SFO,202.0,3030.00 KG,2024-05_MN_1061.0_5.0,2024-05-05 11:18:29
SFO,208.0,3120.00 KG,SFO,206.0,3090.00 KG,2024-05_MN_1061.0_5.0,2024-05-05 11:23:23
SFO,208.0,3120.00 KG,SFO,209.0,3135.00 KG,2024-05_MN_1061.0_5.0,2024-05-05 11:25:52
LYS,92.0,1196.00 KG,LYS,85.0,1105.00 KG,2024-05_MN_1552.0_5.0,2024-05-05 11:30:15
IAD,164.0,2460.00 KG,IAD,170.0,2550.00 KG,2024-05_MN_1117.0_5.0,2024-05-05 11:35:10
NTE,87.0,1131.00 KG,NTE,89.0,1157.00 KG,2024-05_MN_1538.0_5.0,2024-05-05 11:56:54
LHR,88.0,1144.00 KG,LHR,83.0,1079.00 KG,2024-05_MN_1166.0_5.0,2024-05-05 12:05:25
LHR,88.0,1144.00 KG,LHR,85.0,1105.00 KG,2024-05_MN_1166.0_5.0,2024-05-05 12:07:47
YYZ,197.0,2955.00 KG,YYZ,200.0,3000.00 KG,2024-05_MN_1127.0_5.0,2024-05-05 12:06:42
SCQ,103.0,1339.00 KG,SCQ,101.0,1313.00 KG,2024-05_MN_1742.0_5.0,2024-05-05 12:08:14
AMS,133.0,1729.00 KG,AMS,125.0,1625.00 KG,2024-05_MN_1608.0_5.0,2024-05-05 12:24:45
MCO,202.0,3030.00 KG,MCO,206.0,3090.00 KG,2024-05_MN_1121.0_5.0,2024-05-05 12:34:40
BOD,86.0,1118.00 KG,BOD,84.0,1092.00 KG,2024-05_MN_1506.0_5.0,2024-05-05 12:50:38
BDL,95.0,1425.00 KG,BDL,87.0,1305.00 KG,2024-05_MN_1131.0_5.0,2024-05-05 12:42:30
LHR,79.0,1027.00 KG,LHR,80.0,1040.00 KG,2024-05_MN_1168.0_5.0,2024-05-05 13:04:09
ACE,159.0,2067.00 KG,ACE,158.0,2054.00 KG,2024-05_MN_1778.0_5.0,2024-05-05 13:13:52
PGF,116.0,1508.00 KG,PGF,115.0,1495.00 KG,2024-05_MN_1510.0_5.0,2024-05-05 13:22:02
